Date,AAPL,AMZN,BA,BAC,JNJ,MSFT,PFE,WMT,XOM
2000-01-03,0.8410477638244629,4.46875,25.94028091430664,12.56027603149414,23.72749900817871,35.72672653198242,12.060628890991211,14.272887229919434,17.568422317504883
2000-01-04,0.7701388597488403,4.096875190734863,25.899940490722656,11.814765930175781,22.85881805419922,34.519866943359375,11.611305236816406,13.73881721496582,17.231924057006836
2000-01-05,0.7814086079597473,3.487499952316284,27.513635635375977,11.944416046142578,23.100109100341797,34.883827209472656,11.800495147705078,13.458436965942383,18.17133331298828
2000-01-06,0.713786780834198,3.278125047683716,27.79604148864746,12.965446472167969,23.824007034301758,33.71528625488281,12.226158142089844,13.605303764343262,19.110748291015625
2000-01-07,0.7475980520248413,3.4781250953674316,28.60289192199707,12.625105857849121,24.837444305419922,34.15589141845703,13.053853034973145,14.633378982543945,19.054658889770508
2000-01-10,0.7344493865966797,3.4593749046325684,28.199466705322266,12.187519073486328,24.210084915161133,34.40492248535156,13.030200958251953,14.366345405578613,18.78826141357422
2000-01-11,0.6968813538551331,3.3375000953674316,27.675012588500977,11.928213119506836,24.290515899658203,33.52372360229492,12.864662170410156,14.15272331237793,18.84434700012207
2000-01-12,0.655087411403656,3.1781249046325684,27.79604148864746,12.057867050170898,24.065296173095703,32.431819915771484,13.290334701538086,13.899033546447754,18.7321834564209
2000-01-13,0.7269354462623596,3.296875,27.35227394104004,12.33338737487793,24.033130645751953,33.044830322265625,13.99977970123291,13.91238784790039,19.166824340820312
2000-01-14,0.7546415328979492,3.2125000953674316,28.401185989379883,13.095099449157715,24.113550186157227,34.40492248535156,13.99977970123291,13.778871536254883,18.78826141357422
2000-01-18,0.7809389233589172,3.206249952316284,29.046655654907227,12.446836471557617,23.502273559570312,35.34357833862305,13.810598373413086,14.005852699279785,19.012598037719727
2000-01-19,0.8006624579429626,3.340625047683716,30.741043090820312,12.446836471557617,23.58270263671875,32.79579162597656,13.99977970123291,13.685413360595703,19.19487190246582
2000-01-20,0.8527876734733582,3.237499952316284,30.014894485473633,12.207775115966797,23.663150787353516,32.489280700683594,13.769208908081055,13.538549423217773,18.774242401123047
2000-01-21,0.8363518714904785,3.1031250953674316,29.490428924560547,11.84717845916748,23.13227653503418,31.799646377563477,13.266687393188477,13.338271141052246,19.06867218017578
2000-01-24,0.79831463098526,3.5062499046325684,28.60289192199707,11.555456161499023,21.539731979370117,31.03340721130371,13.006550788879395,12.684041976928711,18.900419235229492
2000-01-25,0.843395471572876,3.4625000953674316,29.490428924560547,11.701319694519043,21.941896438598633,31.51230812072754,13.195744514465332,13.057884216308594,18.858356475830078
2000-01-26,0.8278990387916565,3.2406249046325684,29.81317138671875,12.219935417175293,21.49147605895996,30.45870590209961,13.195744514465332,13.231457710266113,18.7321834564209
2000-01-27,0.8264899849891663,3.346874952316284,29.087007522583008,12.479248046875,20.719318389892578,30.267135620117188,13.053853034973145,12.630635261535645,18.17133331298828
2000-01-28,0.7635642290115356,3.0843749046325684,28.80460548400879,11.863388061523438,21.748857498168945,30.11388397216797,13.313981056213379,11.776128768920898,17.69461441040039
2000-01-31,0.7795301675796509,3.2281250953674316,28.72391700744629,12.56027603149414,22.151002883911133,29.998952865600586,13.692357063293457,11.696016311645508,18.591960906982422
2000-02-01,0.7532329559326172,3.371875047683716,28.239809036254883,12.70613956451416,21.82927703857422,31.55060577392578,13.99977970123291,12.537174224853516,18.662073135375977
2000-02-02,0.7424321174621582,3.471874952316284,28.80460548400879,12.382004737854004,21.974056243896484,30.89931297302246,13.62140941619873,12.470405578613281,18.802282333374023
2000-02-03,0.7762433886528015,4.209374904632568,28.038101196289062,12.041662216186523,21.443201065063477,31.761343002319336,13.479520797729492,12.470405578613281,18.479801177978516
2000-02-04,0.8114632368087769,3.9281249046325684,28.401185989379883,11.895795822143555,21.1375732421875,32.66170120239258,13.526812553405762,12.029804229736328,18.143293380737305
2000-02-07,0.8570138216018677,3.75,26.989185333251953,11.7499418258667,20.96062660217285,32.680843353271484,13.99977970123291,11.909645080566406,18.115249633789062
2000-02-08,0.8631191253662109,4.15625,26.46474266052246,12.219935417175293,21.12148666381836,33.696144104003906,14.307209014892578,12.710741996765137,17.708641052246094
2000-02-09,0.8462127447128296,4.012499809265137,25.260025024414062,11.944416046142578,20.590639114379883,31.876277923583984,13.668707847595215,12.35024356842041,17.201610565185547
2000-02-10,0.8527876734733582,3.809375047683716,25.745803833007812,11.636486053466797,20.07586097717285,32.489280700683594,13.243035316467285,12.176676750183105,17.117006301879883
2000-02-11,0.817098081111908,3.809375047683716,25.826751708984375,11.717525482177734,20.00288963317871,30.631099700927734,13.243035316467285,11.976399421691895,16.665828704833984
2000-02-14,0.8701626062393188,3.721874952316284,24.77426528930664,11.474425315856934,20.05133056640625,30.53533172607422,13.243035316467285,12.577224731445312,17.243915557861328
2000-02-15,0.8941119909286499,3.690624952316284,24.936182022094727,11.830971717834473,20.5841007232666,30.209667205810547,13.455873489379883,12.390294075012207,17.892494201660156
2000-02-16,0.8574835062026978,3.534374952316284,24.126567840576172,11.717525482177734,20.616382598876953,29.922300338745117,12.802474975585938,11.268767356872559,18.047584533691406
2000-02-17,0.8631191253662109,3.450000047683716,24.288484573364258,11.571660995483398,20.454938888549805,30.53533172607422,12.89730453491211,10.334151268005371,17.56819725036621
2000-02-18,0.8358824253082275,3.237499952316284,23.31694984436035,11.344767570495605,20.00288963317871,29.136913299560547,12.89730453491211,10.200638771057129,16.919626235961914
